leaf_categ_id	site_id	gpc_id
72406	101	252
41990	2	499767
158937	186	6103
101428	3	6481
58515	0	217
155325	2	6058
166660	2	112
27415	3	3272
67513	15	479
37927	0	216
6430	100	916
98198	0	5276
146029	2	5970
4949	0	5269
70961	2	216
39744	2	8156
47169	2	5831
2265	0	503747
182133	77	1772
21766	15	60
6397	100	916
180950	2	485
18837	101	216
39708	0	216
181102	71	5122
51219	2	296
159945	0	57
13663	2	216
126191	3	2058
155823	186	149
20562	77	505827
99302	2	6174
152560	0	204
15134	0	191
71167	15	6337
165827	2	3865
0	3	2977
86939	2	216
10843	2	5
177930	3	8231
164796	2	6919
71284	15	359
12647	0	0
29187	0	784
21398	0	4333
163647	2	2271
156202	0	1604
21147	2	5099
177026	77	6105
2708	0	216
108737	0	3865
4719	0	220
48516	186	2222
55939	2	1074
38321	101	6997
20581	2	7177
11152	0	5269
101935	15	479
1145	2	784
181150	0	6103
109616	0	2047
165881	0	192
11841	0	6104
176982	186	300
169444	2	8483
63692	2	2641
24787	0	1078
15803	0	5942
25222	2	3958
43354	0	3191
33585	2	2935
14087	0	0
175522	2	182
7318	0	5971
109150	2	1013
165737	2	5970
33596	2	2805
2021	15	1013
36131	15	3982
7346	0	216
10902	3	7353
146248	2	3530
20767	3	8016
10315	0	5122
181052	77	2918
82495	3	216
15806	15	2271
36015	2	576
146425	2	4737
101938	101	479
57831	2	182
59333	2	6337
595	15	216
778	2	3865
81029	71	6000
46907	2	5909
16265	0	3127
44938	2	3580
2493	0	6058
28519	0	4778
6274	2	916
99953	0	216
46249	0	729
37695	0	1097
67279	101	499878
15099	0	8156
13821	2	216
145835	71	5831
176979	77	4102
56091	3	6932
102326	0	0
18949	3	4669
75566	2	2669
10009	0	216
15072	2	3130
51438	3	6476
81741	3	241
99946	2	216
24639	2	990
11891	3	505825
109680	0	2047
75658	15	984
39968	2	287
163599	0	1604
145956	0	4175
72858	0	5975
433	15	245
180913	77	4387
175723	2	43617
36624	2	3670
11359	0	6125
92907	0	200
97198	0	1470
41881	0	321
106232	2	479
165959	2	1259
61239	186	252
32771	2	216
51322	3	4215
10838	3	5
67499	2	2592
171175	0	7178
124112	2	908
163146	101	1604
41446	2	7100
21450	0	8
1288	101	245
167851	77	2810
6385	2	916
36018	0	696
51015	0	194
2855	15	3982
179422	71	7499
61603	2	1470
41305	0	7347
20550	71	573
30110	0	7397
146237	2	7137
36022	77	696
35864	2	220
147256	0	182
1517	0	4669
63507	2	644
182056	15	1604
6387	100	916
47090	71	7295
4691	0	149
107890	15	149
11530	77	1772
2816	2	3553
16471	0	6058
142330	2	5971
71214	0	6382
49207	0	6997
1306	77	499969
31802	15	2858
73489	3	7412
57081	15	500004
2761	3	499879
31575	3	3580
43001	2	200
49190	0	6997
4263	0	8
42948	0	200
43668	2	245
63856	101	5598
149974	2	4463
57076	0	135
64387	0	245
30079	2	2394
177980	100	2550
50305	0	3229
101356	15	291
152709	0	213
176990	71	5863
169361	2	8526
93839	186	6919
11602	15	207
74993	71	474
160911	2	44
167962	0	217
124980	2	505300
12573	3	216
37972	15	7178
67548	15	479
25253	0	114
20323	3	5269
47120	0	216
67570	2	486
110391	0	189
23817	186	1037
55826	0	7262
13360	3	6337
42146	2	4548
24723	0	1097
66887	2	112
164393	186	5122
30015	15	149
22756	0	6125
13725	3	3946
37889	2	216
139915	3	1639
84077	2	6544
29943	2	0
33615	100	2550
16025	3	1070
37712	0	1097
41939	0	1795
57792	2	182
181397	186	502993
131494	186	7262
91581	15	5831
