leaf_categ_id,site_id,move_to,leaf_categ_name
101804,0,101804,"Sports Mem, Cards & Fan Shop:Autographs-Original:Baseball-MLB:Plaques"
101805,0,101805,"Sports Mem, Cards & Fan Shop:Autographs-Original:Boxing:Index Cards"
101806,0,101806,"Sports Mem, Cards & Fan Shop:Autographs-Original:Football-NFL:Hats"
101807,0,101807,"Sports Mem, Cards & Fan Shop:Autographs-Original:Football-NFL:Plaques"
101808,0,101808,"Sports Mem, Cards & Fan Shop:Autographs-Original:Football-NFL:Ticket Stubs"
101809,0,101809,"Sports Mem, Cards & Fan Shop:Autographs-Original:Golf-PGA:Index Cards"
10180,0,38107,Musical Instruments & Gear:String:Violin:Acoustic:Other
101810,0,101810,"Sports Mem, Cards & Fan Shop:Autographs-Original:Hockey-NHL:Index Cards"
101811,0,101811,"Sports Mem, Cards & Fan Shop:Autographs-Original:Racing-NASCAR:Hats"
101812,0,101812,"Sports Mem, Cards & Fan Shop:Autographs-Original:Racing-NASCAR:Index Cards"
10182,0,47096,Musical Instruments & Gear:Woodwind:Clarinet:Other Clarinets
10183,0,10183,Musical Instruments & Gear:Wind & Woodwind:Band & Orchestral:Flutes
10184,0,16231,Musical Instruments & Gear:Woodwind:Saxophone:Other Saxophones
10185,0,10185,Jewelry & Watches:Loose Diamonds & Gemstones:Loose Gemstones:Agate
10187,0,10185,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Agate:Cabochon
10188,0,110849,Jewelry & Watches:Loose Gemstones:Agate:Rough
10189,0,10185,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Agate:Slab
1018,0,1018,Pottery & Glass:Glass:Glassware:Kitchen Glassware:Swanky Swigs
10190,0,10190,Jewelry & Watches:Loose Diamonds & Gemstones:Loose Gemstones:Alexandrite
101913,0,29581,Health & Beauty:Bath & Body:Body Powder:Crabtree & Evelyn
101914,0,29581,Health & Beauty:Bath & Body:Body Powder:Jessica Simpson
101915,0,101915,Health & Beauty:Salon & Spa Equipment:Scissors & Shears
101916,0,101915,"Health & Beauty:Shaving & Hair Removal:Scissors & Shears:5"""
101917,0,101915,"Health & Beauty:Shaving & Hair Removal:Scissors & Shears:5.5"""
101918,0,101915,"Health & Beauty:Shaving & Hair Removal:Scissors & Shears:6"""
10191,0,10191,Jewelry & Watches:Loose Diamonds & Gemstones:Loose Gemstones:Amber
101920,0,31753,"Health & Beauty:Bath & Body:Body Sprays, Mists:Avon"
101921,0,31753,"Health & Beauty:Bath & Body:Body Sprays, Mists:Bath & Body Works"
101922,0,31753,"Health & Beauty:Bath & Body:Body Sprays, Mists:Victoria's Secret"
101923,0,33164,Health & Beauty:Skin Care:Anti-Aging Products:Gatineau
101924,0,33164,Health & Beauty:Skin Care:Anti-Aging Products:Skinceuticals
101925,0,101925,Health & Beauty:Skin Care:Microdermabrasion Tools
101926,0,101926,Health & Beauty:Skin Care:Night Treatments
